Країна,Розділ,Розділ (скор.),Рік,Експорт (тис. дол. США)
Єгипет,"Розділ XVІ Машини, обладнання та механізми; електротехнічне обладнання; їх частини; звукозаписувальна та звуковідтворювальна апаратура, апаратура для запису або відтворення телевізійного зображення і звуку, їх частини та приладдя",XVI. Машини та обладнання,2020,3415.3
Єгипет,"Розділ XVІ Машини, обладнання та механізми; електротехнічне обладнання; їх частини; звукозаписувальна та звуковідтворювальна апаратура, апаратура для запису або відтворення телевізійного зображення і звуку, їх частини та приладдя",XVI. Машини та обладнання,2021,4850.0
Єгипет,"Розділ XVІ Машини, обладнання та механізми; електротехнічне обладнання; їх частини; звукозаписувальна та звуковідтворювальна апаратура, апаратура для запису або відтворення телевізійного зображення і звуку, їх частини та приладдя",XVI. Машини та обладнання,2022,2518.5
Єгипет,"Розділ XVІ Машини, обладнання та механізми; електротехнічне обладнання; їх частини; звукозаписувальна та звуковідтворювальна апаратура, апаратура для запису або відтворення телевізійного зображення і звуку, їх частини та приладдя",XVI. Машини та обладнання,2023,2252.7000000000003
Єгипет,"Розділ XVІ Машини, обладнання та механізми; електротехнічне обладнання; їх частини; звукозаписувальна та звуковідтворювальна апаратура, апаратура для запису або відтворення телевізійного зображення і звуку, їх частини та приладдя",XVI. Машини та обладнання,2024,4186.5
Єгипет,"Розділ XVІІ Засоби наземного транспорту, літальні апарати, плавучі засоби і пов'язані з транспортом пристрої та обладнання",XVII. Транспортні засоби,2016,21029.399999999998
Єгипет,"Розділ XVІІ Засоби наземного транспорту, літальні апарати, плавучі засоби і пов'язані з транспортом пристрої та обладнання",XVII. Транспортні засоби,2017,3817.3999999999996
Єгипет,"Розділ XVІІ Засоби наземного транспорту, літальні апарати, плавучі засоби і пов'язані з транспортом пристрої та обладнання",XVII. Транспортні засоби,2018,6132.200000000001
Єгипет,"Розділ XVІІ Засоби наземного транспорту, літальні апарати, плавучі засоби і пов'язані з транспортом пристрої та обладнання",XVII. Транспортні засоби,2019,10288.9
Єгипет,"Розділ XVІІ Засоби наземного транспорту, літальні апарати, плавучі засоби і пов'язані з транспортом пристрої та обладнання",XVII. Транспортні засоби,2020,10292.0
Єгипет,"Розділ XVІІ Засоби наземного транспорту, літальні апарати, плавучі засоби і пов'язані з транспортом пристрої та обладнання",XVII. Транспортні засоби,2021,5596.3
Єгипет,"Розділ XVІІ Засоби наземного транспорту, літальні апарати, плавучі засоби і пов'язані з транспортом пристрої та обладнання",XVII. Транспортні засоби,2022,133.39999999999998
Єгипет,"Розділ XVІІ Засоби наземного транспорту, літальні апарати, плавучі засоби і пов'язані з транспортом пристрої та обладнання",XVII. Транспортні засоби,2023,157.0
Єгипет,"Розділ XVІІ Засоби наземного транспорту, літальні апарати, плавучі засоби і пов'язані з транспортом пристрої та обладнання",XVII. Транспортні засоби,2024,120.2
Єгипет,"Розділ XVІІІ Прилади та апарати оптичні, фотографічні, кінематографічні, контрольні, вимірювальні, прецизійні, медичні або хірургічні; годинники всіх видів; музичні інструменти; їх частини та приладдя","XVIII. Оптичні, медичні прилади",2016,963.8
Єгипет,"Розділ XVІІІ Прилади та апарати оптичні, фотографічні, кінематографічні, контрольні, вимірювальні, прецизійні, медичні або хірургічні; годинники всіх видів; музичні інструменти; їх частини та приладдя","XVIII. Оптичні, медичні прилади",2017,893.3
Єгипет,"Розділ XVІІІ Прилади та апарати оптичні, фотографічні, кінематографічні, контрольні, вимірювальні, прецизійні, медичні або хірургічні; годинники всіх видів; музичні інструменти; їх частини та приладдя","XVIII. Оптичні, медичні прилади",2018,796.8
Єгипет,"Розділ XVІІІ Прилади та апарати оптичні, фотографічні, кінематографічні, контрольні, вимірювальні, прецизійні, медичні або хірургічні; годинники всіх видів; музичні інструменти; їх частини та приладдя","XVIII. Оптичні, медичні прилади",2019,688.5
Єгипет,"Розділ XVІІІ Прилади та апарати оптичні, фотографічні, кінематографічні, контрольні, вимірювальні, прецизійні, медичні або хірургічні; годинники всіх видів; музичні інструменти; їх частини та приладдя","XVIII. Оптичні, медичні прилади",2020,696.1999999999999
Єгипет,"Розділ XVІІІ Прилади та апарати оптичні, фотографічні, кінематографічні, контрольні, вимірювальні, прецизійні, медичні або хірургічні; годинники всіх видів; музичні інструменти; їх частини та приладдя","XVIII. Оптичні, медичні прилади",2021,1039.0
Єгипет,"Розділ XVІІІ Прилади та апарати оптичні, фотографічні, кінематографічні, контрольні, вимірювальні, прецизійні, медичні або хірургічні; годинники всіх видів; музичні інструменти; їх частини та приладдя","XVIII. Оптичні, медичні прилади",2022,637.9
Єгипет,"Розділ XVІІІ Прилади та апарати оптичні, фотографічні, кінематографічні, контрольні, вимірювальні, прецизійні, медичні або хірургічні; годинники всіх видів; музичні інструменти; їх частини та приладдя","XVIII. Оптичні, медичні прилади",2023,162.3
Єгипет,"Розділ XVІІІ Прилади та апарати оптичні, фотографічні, кінематографічні, контрольні, вимірювальні, прецизійні, медичні або хірургічні; годинники всіх видів; музичні інструменти; їх частини та приладдя","XVIII. Оптичні, медичні прилади",2024,100.6
Єгипет,Розділ XX Різні промислові товари,XX. Різні промислові товари,2016,128.6
Єгипет,Розділ XX Різні промислові товари,XX. Різні промислові товари,2017,33.2
Єгипет,Розділ XX Різні промислові товари,XX. Різні промислові товари,2018,257.40000000000003
Єгипет,Розділ XX Різні промислові товари,XX. Різні промислові товари,2019,69.3
Єгипет,Розділ XX Різні промислові товари,XX. Різні промислові товари,2020,116.39999999999999
Єгипет,Розділ XX Різні промислові товари,XX. Різні промислові товари,2021,93.4
Єгипет,Розділ XX Різні промислові товари,XX. Різні промислові товари,2022,4.2
Єгипет,Розділ XX Різні промислові товари,XX. Різні промислові товари,2023,4.5
Єгипет,Розділ XX Різні промислові товари,XX. Різні промислові товари,2024,59.6
Єгипет,"Розділ XXІ Твори мистецтва, предмети колекціонування та антикваріат","XXI. Твори мистецтва, антикваріат",2016,0.0
Єгипет,"Розділ XXІ Твори мистецтва, предмети колекціонування та антикваріат","XXI. Твори мистецтва, антикваріат",2017,0.0
Єгипет,"Розділ XXІ Твори мистецтва, предмети колекціонування та антикваріат","XXI. Твори мистецтва, антикваріат",2018,0.0
Єгипет,"Розділ XXІ Твори мистецтва, предмети колекціонування та антикваріат","XXI. Твори мистецтва, антикваріат",2019,0.0
Єгипет,"Розділ XXІ Твори мистецтва, предмети колекціонування та антикваріат","XXI. Твори мистецтва, антикваріат",2020,0.0
Єгипет,"Розділ XXІ Твори мистецтва, предмети колекціонування та антикваріат","XXI. Твори мистецтва, антикваріат",2021,0.0
Єгипет,"Розділ XXІ Твори мистецтва, предмети колекціонування та антикваріат","XXI. Твори мистецтва, антикваріат",2022,0.0
Єгипет,"Розділ XXІ Твори мистецтва, предмети колекціонування та антикваріат","XXI. Твори мистецтва, антикваріат",2023,0.0
Єгипет,"Розділ XXІ Твори мистецтва, предмети колекціонування та антикваріат","XXI. Твори мистецтва, антикваріат",2024,0.0
Єгипет,Розділ XXІІ Товари придбані в портах,"XXII. Товари, придбані в портах",2016,811.1
Єгипет,Розділ XXІІ Товари придбані в портах,"XXII. Товари, придбані в портах",2017,0.0
Єгипет,Розділ XXІІ Товари придбані в портах,"XXII. Товари, придбані в портах",2018,36.3
Єгипет,Розділ XXІІ Товари придбані в портах,"XXII. Товари, придбані в портах",2019,0.0
Єгипет,Розділ XXІІ Товари придбані в портах,"XXII. Товари, придбані в портах",2020,0.0
Єгипет,Розділ XXІІ Товари придбані в портах,"XXII. Товари, придбані в портах",2021,0.0
Єгипет,Розділ XXІІ Товари придбані в портах,"XXII. Товари, придбані в портах",2022,0.0
Єгипет,Розділ XXІІ Товари придбані в портах,"XXII. Товари, придбані в портах",2023,0.0
Єгипет,Розділ XXІІ Товари придбані в портах,"XXII. Товари, придбані в портах",2024,0.0
Єгипет,Розділ XІ Текстильні матеріали та текстильні вироби,XI. Текстиль та текстильні вироби,2016,23.8
Єгипет,Розділ XІ Текстильні матеріали та текстильні вироби,XI. Текстиль та текстильні вироби,2017,2.8
Єгипет,Розділ XІ Текстильні матеріали та текстильні вироби,XI. Текстиль та текстильні вироби,2018,85.3
Єгипет,Розділ XІ Текстильні матеріали та текстильні вироби,XI. Текстиль та текстильні вироби,2019,3.4
Єгипет,Розділ XІ Текстильні матеріали та текстильні вироби,XI. Текстиль та текстильні вироби,2020,129.7
Єгипет,Розділ XІ Текстильні матеріали та текстильні вироби,XI. Текстиль та текстильні вироби,2021,20.4
Єгипет,Розділ XІ Текстильні матеріали та текстильні вироби,XI. Текстиль та текстильні вироби,2022,0.0
Єгипет,Розділ XІ Текстильні матеріали та текстильні вироби,XI. Текстиль та текстильні вироби,2023,0.2
Єгипет,Розділ XІ Текстильні матеріали та текстильні вироби,XI. Текстиль та текстильні вироби,2024,1.2
Єгипет,"Розділ XІV Перли природні або культивовані, дорогоцінне або напівдорогоцінне каміння, дорогоцінні метали, метали, плаковані дорогоцінними металами, та вироби з них; біжутерія; монети",XIV. Дорогоцінне каміння та метали,2016,0.0
Єгипет,"Розділ XІV Перли природні або культивовані, дорогоцінне або напівдорогоцінне каміння, дорогоцінні метали, метали, плаковані дорогоцінними металами, та вироби з них; біжутерія; монети",XIV. Дорогоцінне каміння та метали,2017,0.0
Єгипет,"Розділ XІV Перли природні або культивовані, дорогоцінне або напівдорогоцінне каміння, дорогоцінні метали, метали, плаковані дорогоцінними металами, та вироби з них; біжутерія; монети",XIV. Дорогоцінне каміння та метали,2018,0.0
Єгипет,"Розділ XІV Перли природні або культивовані, дорогоцінне або напівдорогоцінне каміння, дорогоцінні метали, метали, плаковані дорогоцінними металами, та вироби з них; біжутерія; монети",XIV. Дорогоцінне каміння та метали,2019,3.2
Єгипет,"Розділ XІV Перли природні або культивовані, дорогоцінне або напівдорогоцінне каміння, дорогоцінні метали, метали, плаковані дорогоцінними металами, та вироби з них; біжутерія; монети",XIV. Дорогоцінне каміння та метали,2020,12.2
Єгипет,"Розділ XІV Перли природні або культивовані, дорогоцінне або напівдорогоцінне каміння, дорогоцінні метали, метали, плаковані дорогоцінними металами, та вироби з них; біжутерія; монети",XIV. Дорогоцінне каміння та метали,2021,0.0
Єгипет,"Розділ XІV Перли природні або культивовані, дорогоцінне або напівдорогоцінне каміння, дорогоцінні метали, метали, плаковані дорогоцінними металами, та вироби з них; біжутерія; монети",XIV. Дорогоцінне каміння та метали,2022,0.0
Єгипет,"Розділ XІV Перли природні або культивовані, дорогоцінне або напівдорогоцінне каміння, дорогоцінні метали, метали, плаковані дорогоцінними металами, та вироби з них; біжутерія; монети",XIV. Дорогоцінне каміння та метали,2023,0.0
Єгипет,"Розділ XІV Перли природні або культивовані, дорогоцінне або напівдорогоцінне каміння, дорогоцінні метали, метали, плаковані дорогоцінними металами, та вироби з них; біжутерія; монети",XIV. Дорогоцінне каміння та метали,2024,0.0
Єгипет,"Розділ XІІ Взуття, головні убори, парасольки від дощу та сонця, палиці, стеки, батоги та їх частини; пір'я оброблене і вироби з нього; штучні квіти; вироби з волосся людини","XII. Взуття, головні убори",2016,2.6
Єгипет,"Розділ XІІ Взуття, головні убори, парасольки від дощу та сонця, палиці, стеки, батоги та їх частини; пір'я оброблене і вироби з нього; штучні квіти; вироби з волосся людини","XII. Взуття, головні убори",2017,0.0
Єгипет,"Розділ XІІ Взуття, головні убори, парасольки від дощу та сонця, палиці, стеки, батоги та їх частини; пір'я оброблене і вироби з нього; штучні квіти; вироби з волосся людини","XII. Взуття, головні убори",2018,0.0
Єгипет,"Розділ XІІ Взуття, головні убори, парасольки від дощу та сонця, палиці, стеки, батоги та їх частини; пір'я оброблене і вироби з нього; штучні квіти; вироби з волосся людини","XII. Взуття, головні убори",2019,0.0
Єгипет,"Розділ XІІ Взуття, головні убори, парасольки від дощу та сонця, палиці, стеки, батоги та їх частини; пір'я оброблене і вироби з нього; штучні квіти; вироби з волосся людини","XII. Взуття, головні убори",2020,10.700000000000001
Єгипет,"Розділ XІІ Взуття, головні убори, парасольки від дощу та сонця, палиці, стеки, батоги та їх частини; пір'я оброблене і вироби з нього; штучні квіти; вироби з волосся людини","XII. Взуття, головні убори",2021,0.0
Єгипет,"Розділ XІІ Взуття, головні убори, парасольки від дощу та сонця, палиці, стеки, батоги та їх частини; пір'я оброблене і вироби з нього; штучні квіти; вироби з волосся людини","XII. Взуття, головні убори",2022,0.0
Єгипет,"Розділ XІІ Взуття, головні убори, парасольки від дощу та сонця, палиці, стеки, батоги та їх частини; пір'я оброблене і вироби з нього; штучні квіти; вироби з волосся людини","XII. Взуття, головні убори",2023,0.0
Єгипет,"Розділ XІІ Взуття, головні убори, парасольки від дощу та сонця, палиці, стеки, батоги та їх частини; пір'я оброблене і вироби з нього; штучні квіти; вироби з волосся людини","XII. Взуття, головні убори",2024,0.0
Єгипет,"Розділ XІІІ Вироби з каменю, гіпсу, цементу, азбесту, слюди або аналогічних матеріалів; керамічні вироби; скло та вироби із скла","XIII. Вироби з каменю, кераміка, скло",2016,212.0
Єгипет,"Розділ XІІІ Вироби з каменю, гіпсу, цементу, азбесту, слюди або аналогічних матеріалів; керамічні вироби; скло та вироби із скла","XIII. Вироби з каменю, кераміка, скло",2017,51.2
Єгипет,"Розділ XІІІ Вироби з каменю, гіпсу, цементу, азбесту, слюди або аналогічних матеріалів; керамічні вироби; скло та вироби із скла","XIII. Вироби з каменю, кераміка, скло",2018,898.3
Єгипет,"Розділ XІІІ Вироби з каменю, гіпсу, цементу, азбесту, слюди або аналогічних матеріалів; керамічні вироби; скло та вироби із скла","XIII. Вироби з каменю, кераміка, скло",2019,524.0
Єгипет,"Розділ XІІІ Вироби з каменю, гіпсу, цементу, азбесту, слюди або аналогічних матеріалів; керамічні вироби; скло та вироби із скла","XIII. Вироби з каменю, кераміка, скло",2020,135.5
Єгипет,"Розділ XІІІ Вироби з каменю, гіпсу, цементу, азбесту, слюди або аналогічних матеріалів; керамічні вироби; скло та вироби із скла","XIII. Вироби з каменю, кераміка, скло",2021,261.9
Єгипет,"Розділ XІІІ Вироби з каменю, гіпсу, цементу, азбесту, слюди або аналогічних матеріалів; керамічні вироби; скло та вироби із скла","XIII. Вироби з каменю, кераміка, скло",2022,82.4
Єгипет,"Розділ XІІІ Вироби з каменю, гіпсу, цементу, азбесту, слюди або аналогічних матеріалів; керамічні вироби; скло та вироби із скла","XIII. Вироби з каменю, кераміка, скло",2023,90.6
Єгипет,"Розділ XІІІ Вироби з каменю, гіпсу, цементу, азбесту, слюди або аналогічних матеріалів; керамічні вироби; скло та вироби із скла","XIII. Вироби з каменю, кераміка, скло",2024,0.0
Єгипет,Розділ І Живі тварини; продукти тваринного походження,I. Живі тварини та продукти тваринного походження,2016,65249.0
Єгипет,Розділ І Живі тварини; продукти тваринного походження,I. Живі тварини та продукти тваринного походження,2017,84288.0
Єгипет,Розділ І Живі тварини; продукти тваринного походження,I. Живі тварини та продукти тваринного походження,2018,17154.1
Єгипет,Розділ І Живі тварини; продукти тваринного походження,I. Живі тварини та продукти тваринного походження,2019,25379.899999999998
Єгипет,Розділ І Живі тварини; продукти тваринного походження,I. Живі тварини та продукти тваринного походження,2020,18587.5
Єгипет,Розділ І Живі тварини; продукти тваринного походження,I. Живі тварини та продукти тваринного походження,2021,15515.7
Єгипет,Розділ І Живі тварини; продукти тваринного походження,I. Живі тварини та продукти тваринного походження,2022,29349.600000000002
Єгипет,Розділ І Живі тварини; продукти тваринного походження,I. Живі тварини та продукти тваринного походження,2023,9888.2
Єгипет,Розділ І Живі тварини; продукти тваринного походження,I. Живі тварини та продукти тваринного походження,2024,2662.0
Єгипет,Розділ ІV Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники,"IV. Харчові продукти, напої, тютюн",2016,81844.5
Єгипет,Розділ ІV Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники,"IV. Харчові продукти, напої, тютюн",2017,73266.0
Єгипет,Розділ ІV Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники,"IV. Харчові продукти, напої, тютюн",2018,71055.59999999999
Єгипет,Розділ ІV Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники,"IV. Харчові продукти, напої, тютюн",2019,86017.5
Єгипет,Розділ ІV Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники,"IV. Харчові продукти, напої, тютюн",2020,87004.2
Єгипет,Розділ ІV Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники,"IV. Харчові продукти, напої, тютюн",2021,77308.3
Єгипет,Розділ ІV Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники,"IV. Харчові продукти, напої, тютюн",2022,21856.2
Єгипет,Розділ ІV Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники,"IV. Харчові продукти, напої, тютюн",2023,23679.5
Єгипет,Розділ ІV Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники,"IV. Харчові продукти, напої, тютюн",2024,36804.5
